token	part	source	target	action	salt
042	1	0	1	enter	N/A
270524817733798	1	1	1	hint	042
278716494646762	1	1	1	hint	042
279731784972193	1	1	2	move	042
136974024208867	1	2	2	hint	002
140206456605608	1	2	2	hint	002
128589543210724	1	2	3	move	002
280206676651511	1	3	4	move	048
37150133620128	1	4	4	hint	023
47890482868936	1	4	4	hint	023
50457013926347	1	4	4	hint	023
49081739277115	1	4	5	move	023
111903790755050	1	5	6	move	060
71218742664725	1	6	6	hint	069
72792619708639	1	6	6	hint	069
75420150557596	1	6	6	hint	069
71115866585707	1	6	7	move	069
18141288821757	1	7	7	hint	090
18186036980160	1	7	7	hint	090
18786734952407	1	7	7	hint	090
27493202200923	1	7	7	hint	090
19389891798490	1	7	8	move	090
44650742398740	1	8	8	hint	079
37445107108825	1	8	9	move	079
14915938923952	1	9	9	hint	099
7708171354493	1	9	10	move	099
253789061748229	1	10	11	move	073
107025105236366	1	11	12	move	093
138282073330312	1	12	12	hint	033
138996212731035	1	12	12	hint	033
139744599079637	1	12	13	move	033
140217850902324	1	12	13	move	033
204603481281422	1	13	14	move	025
161821468565730	1	14	14	hint	024
165888542179420	1	14	14	hint	024
166013587439609	1	14	14	hint	024
167117019028817	1	14	14	hint	024
166788243175236	1	14	15	move	024
255787834193736	1	15	16	move	034
24919761524173	1	16	17	move	091
25101277790992	1	16	17	move	091
25203292965387	1	16	17	move	091
46779335306464	1	17	18	move	075
845203505654	1	18	19	move	076
28359990687086	1	19	19	hint	080
27912063284788	1	19	20	move	080
34285849059910	1	20	20	hint	078
34285849060722	1	20	20	hint	078
34285849061160	1	20	20	hint	078
34285849060426	1	20	21	move	078
148615726566579	1	21	22	move	010
229615318980909	1	22	23	move	086
256975312978711	1	23	24	move	029
218198158603602	1	24	24	hint	045
238466580765852	1	24	24	hint	045
240365303417698	1	24	25	move	045
233051995253998	1	25	26	move	012
37373906110135	1	26	26	hint	032
48955627140666	1	26	26	hint	032
51796000688695	1	26	26	hint	032
41535988500868	1	26	27	move	032
128655226577199	1	27	27	hint	036
136221754469805	1	27	27	hint	036
124493698100759	1	27	28	move	036
157771240628108	1	28	29	move	035
193594500728372	1	29	29	hint	046
205678511338701	1	29	30	move	046
227531204698033	1	30	31	move	071
198001479871924	1	31	32	move	018
66098661366712	1	32	33	move	004
213893536427211	1	33	0	move	051
214187513069315	1	33	34	move	051
225550015813321	1	33	34	move	051
255276062128450	1	34	0	move	052
148646393118578	1	35	0	move	053
