token	activity	source	target	action	salt
042	1	0	1	enter	N/A
280010183117016	1	1	2	move	042
127572182569252	1	2	3	move	002
278655325129117	1	3	4	move	048
36544000811616	1	4	4	hint	023
48038106262884	1	4	4	hint	023
49634567641071	1	4	4	hint	023
49877984153702	1	4	5	move	023
111347585921835	1	5	6	move	060
70387888034034	1	6	6	hint	069
73596625706163	1	6	6	hint	069
76307533465793	1	6	6	hint	069
71493821063775	1	6	7	move	069
28658891523095	1	7	7	hint	090
29198809911474	1	7	7	hint	090
29560835575636	1	7	7	hint	090
30529521407667	1	7	7	hint	090
30398186716581	1	7	8	move	090
16427621247298	1	8	8	hint	099
8348573347279	1	8	9	move	099
250823105679734	1	9	10	move	073
112781382726964	1	10	11	move	093
133844634368524	1	11	11	hint	033
137567818264690	1	11	11	hint	033
134094834306231	1	11	12	move	033
140361992167979	1	11	12	move	033
206536196373822	1	12	13	move	025
161728381954968	1	13	13	hint	024
165711365329111	1	13	13	hint	024
165881901973859	1	13	13	hint	024
166447123487581	1	13	13	hint	024
166475576240457	1	13	14	move	024
261352685198133	1	14	15	move	034
23228768719000	1	15	15	hint	091
25142560896863	1	15	15	hint	091
25263687649022	1	15	15	hint	091
34756549418683	1	15	16	move	091
34877944868442	1	15	16	move	091
35110542179316	1	15	16	move	091
36005631554399	1	16	17	move	075
11047667535310	1	17	18	move	076
17913110945546	1	18	18	hint	080
28860022323271	1	18	18	hint	080
17932999715393	1	18	19	move	080
34691307360644	1	19	19	hint	078
34691307363378	1	19	19	hint	078
34691307364334	1	19	19	hint	078
34691307363878	1	19	20	move	078
156519988531042	1	20	21	move	010
228820229151258	1	21	22	move	086
256416647551874	1	22	23	move	029
234350336086754	1	23	23	hint	045
237791690290201	1	23	23	hint	045
241551827838277	1	23	24	move	045
238207576521752	1	24	25	move	012
39735907674280	1	25	25	hint	032
39891969235649	1	25	25	hint	032
40030811180335	1	25	25	hint	032
41269257906868	1	25	26	move	032
128750693527757	1	26	26	hint	036
130035311163695	1	26	26	hint	036
124758398389543	1	26	27	move	036
152687633573299	1	27	28	move	035
203589828702201	1	28	28	hint	046
203591029657813	1	28	29	move	046
222052332563255	1	29	30	move	071
193773092890240	1	30	31	move	018
66225330703443	1	31	31	hint	004
60216806700812	1	31	32	move	004
225747327555713	1	32	0	move	051
225765442742136	1	32	33	move	051
225973728467568	1	32	33	move	051
255035326205192	1	33	0	move	052
150536228948792	1	34	0	move	053
